,age,workclass,fnlwgt,education,educational-num,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,income
161,32,Private,136921,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,United-States,<=50K
162,22,Private,388885,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,45,United-States,<=50K
163,29,Private,142249,Bachelors,13,Never-married,Sales,Own-child,White,Male,0,0,40,United-States,<=50K
164,46,State-gov,56841,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,45,United-States,>50K
165,31,Private,156493,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,>50K
166,58,Self-emp-not-inc,159021,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,16,United-States,>50K
167,42,Private,190910,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,45,United-States,<=50K
168,18,Private,41879,HS-grad,9,Never-married,Handlers-cleaners,Unmarried,White,Male,0,0,25,United-States,<=50K
169,58,Local-gov,137249,HS-grad,9,Divorced,Exec-managerial,Not-in-family,White,Male,0,0,33,United-States,<=50K
170,54,Private,236157,HS-grad,9,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,1887,40,United-States,>50K
171,34,Private,189759,Masters,14,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,40,United-States,<=50K
172,26,Private,239877,Bachelors,13,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,<=50K
173,61,Private,21175,12th,8,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,60,United-States,<=50K
174,48,Local-gov,67229,Masters,14,Separated,Adm-clerical,Unmarried,Black,Female,0,0,40,United-States,<=50K
175,36,Private,236391,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,45,United-States,>50K
176,24,Private,325596,Assoc-voc,11,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,45,United-States,<=50K
177,40,Private,83411,Some-college,10,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,37,United-States,<=50K
178,33,Self-emp-inc,154227,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,0,0,50,United-States,>50K
179,37,Private,248010,Some-college,10,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,1887,40,United-States,>50K
180,34,Private,198613,Masters,14,Never-married,Exec-managerial,Own-child,White,Male,4650,0,40,United-States,<=50K
181,56,Self-emp-inc,321529,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,15024,0,40,United-States,>50K
182,28,?,168524,HS-grad,9,Married-civ-spouse,?,Own-child,White,Female,0,0,38,United-States,>50K
183,37,Private,203079,Bachelors,13,Widowed,Exec-managerial,Not-in-family,White,Female,0,0,55,United-States,<=50K
184,44,Private,284652,HS-grad,9,Divorced,Sales,Unmarried,Black,Female,0,0,40,United-States,<=50K
185,64,?,201368,Some-college,10,Married-civ-spouse,?,Husband,White,Male,0,0,8,United-States,<=50K
186,54,Private,59840,HS-grad,9,Divorced,Handlers-cleaners,Not-in-family,White,Male,0,0,45,United-States,<=50K
187,23,Private,52753,HS-grad,9,Never-married,Machine-op-inspct,Not-in-family,White,Male,0,0,50,United-States,<=50K
188,34,State-gov,513100,Bachelors,13,Married-spouse-absent,Farming-fishing,Not-in-family,Black,Male,0,0,40,?,<=50K
189,22,Private,199266,HS-grad,9,Never-married,Other-service,Not-in-family,White,Female,0,0,45,United-States,<=50K
190,33,Private,196385,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,1977,40,United-States,>50K
191,39,Private,163205,Bachelors,13,Separated,Prof-specialty,Not-in-family,White,Male,0,0,50,United-States,>50K
192,47,Private,411047,Some-college,10,Divorced,Adm-clerical,Not-in-family,Black,Female,0,0,37,United-States,<=50K
193,79,?,48574,7th-8th,4,Widowed,?,Not-in-family,White,Male,0,0,40,United-States,<=50K
194,26,Private,209440,HS-grad,9,Never-married,Prof-specialty,Unmarried,Black,Female,0,0,55,United-States,<=50K
195,31,Private,56964,Some-college,10,Divorced,Exec-managerial,Unmarried,White,Female,0,0,40,United-States,<=50K
196,44,Private,299197,Some-college,10,Never-married,Transport-moving,Not-in-family,White,Male,0,0,45,United-States,<=50K
197,42,Self-emp-inc,240628,Prof-school,15,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,0,50,United-States,>50K
198,19,Private,355313,HS-grad,9,Never-married,Machine-op-inspct,Not-in-family,White,Female,0,0,40,United-States,<=50K
199,27,Private,132267,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,40,United-States,>50K
200,51,Local-gov,174861,Some-college,10,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,40,United-States,>50K
201,28,Self-emp-inc,142443,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50,United-States,<=50K
202,57,Private,26716,Bachelors,13,Divorced,Craft-repair,Not-in-family,White,Male,0,0,45,United-States,<=50K
203,45,Local-gov,185588,Bachelors,13,Divorced,Prof-specialty,Unmarried,White,Female,0,0,40,United-States,<=50K
204,50,Private,175029,Assoc-voc,11,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,>50K
205,34,Self-emp-inc,34848,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0,0,54,United-States,<=50K
206,45,Private,411273,7th-8th,4,Married-civ-spouse,Craft-repair,Husband,Black,Male,0,0,40,United-States,<=50K
207,73,Local-gov,143437,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,20,United-States,<=50K
208,34,Private,357145,Bachelors,13,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,0,50,United-States,>50K
209,31,Private,236861,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,0,0,55,United-States,>50K
210,19,Private,53355,11th,7,Never-married,Sales,Not-in-family,White,Male,0,0,12,United-States,<=50K
211,25,Private,29106,Some-college,10,Never-married,Other-service,Own-child,White,Female,0,0,50,United-States,<=50K
212,38,Federal-gov,213274,Assoc-voc,11,Divorced,Craft-repair,Unmarried,White,Female,6497,0,40,United-States,<=50K
213,39,Private,22463,Bachelors,13,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,40,United-States,<=50K
214,23,Private,180497,Bachelors,13,Never-married,Tech-support,Own-child,Black,Female,0,0,32,United-States,<=50K
215,49,Private,37306,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,United-States,<=50K
216,33,Federal-gov,137814,HS-grad,9,Never-married,Other-service,Not-in-family,White,Male,0,0,32,United-States,<=50K
217,21,Private,447488,5th-6th,3,Never-married,Machine-op-inspct,Other-relative,White,Male,0,0,38,Mexico,<=50K
218,31,Private,220915,Assoc-voc,11,Separated,Craft-repair,Not-in-family,White,Male,0,0,40,United-States,<=50K
219,23,Private,42251,Bachelors,13,Never-married,Exec-managerial,Not-in-family,White,Female,0,0,45,United-States,<=50K
220,34,Private,162312,Bachelors,13,Married-civ-spouse,Adm-clerical,Husband,Asian-Pac-Islander,Male,0,0,40,Philippines,<=50K
221,25,Private,77698,HS-grad,9,Never-married,Machine-op-inspct,Not-in-family,Asian-Pac-Islander,Female,0,0,40,Philippines,<=50K
222,39,Private,282951,HS-grad,9,Never-married,Craft-repair,Unmarried,White,Male,0,0,40,United-States,<=50K
223,52,Self-emp-inc,311259,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,United-States,>50K
224,63,Local-gov,65479,9th,5,Married-civ-spouse,Transport-moving,Husband,White,Male,7688,0,40,United-States,>50K
225,41,Private,277256,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
226,46,Private,312088,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,15024,0,38,United-States,>50K
227,53,Local-gov,169719,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,<=50K
228,25,?,270276,9th,5,Separated,?,Not-in-family,White,Female,1055,0,40,United-States,<=50K
229,77,?,172744,Some-college,10,Married-civ-spouse,?,Husband,White,Male,0,0,35,United-States,<=50K
230,18,Private,96869,12th,8,Never-married,Priv-house-serv,Own-child,White,Male,0,0,40,United-States,<=50K
231,38,Private,237943,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,50,United-States,<=50K
232,55,Private,119751,Masters,14,Never-married,Exec-managerial,Unmarried,Asian-Pac-Islander,Female,0,0,50,Thailand,<=50K
233,34,Private,236861,HS-grad,9,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,40,United-States,>50K
234,80,Self-emp-not-inc,201092,HS-grad,9,Married-civ-spouse,Other-service,Husband,White,Male,0,0,30,United-States,<=50K
235,34,Private,147215,Assoc-voc,11,Divorced,Tech-support,Unmarried,White,Female,0,0,60,United-States,<=50K
