Date,AveragePrice,Total Volume,4046,4225,4770,Total Bags,Small Bags,Large Bags,XLarge Bags,type,year,region
2017-06-04,1.99,5574.93,1368.31,156.3,0.0,4050.32,4050.32,0.0,0.0,organic,2017,Tampa
2015-03-29,1.62,64282.45,2606.14,51107.34,0.0,10568.97,9963.32,605.65,0.0,organic,2015,GreatLakes
2015-11-01,1.82,2109.04,1331.43,21.71,12.57,743.33,743.33,0.0,0.0,organic,2015,Jacksonville
2015-01-04,0.98,3204112.16,2296069.27,320373.63,18938.42,568730.84,287820.14,280910.7,0.0,conventional,2015,Southeast
2016-06-05,0.87,125934.24,29094.1,30005.5,5361.13,61473.51,60082.4,1383.65,7.46,conventional,2016,Spokane
2015-04-19,1.89,4548.77,386.51,1671.71,12.7,2477.85,2477.85,0.0,0.0,organic,2015,Philadelphia
2017-01-29,0.93,33928.66,7985.23,303.14,0.0,25640.29,25640.29,0.0,0.0,organic,2017,Houston
2015-07-05,1.11,2935.57,59.2,963.26,0.0,1913.11,470.0,1443.11,0.0,organic,2015,Indianapolis
2015-05-31,1.85,1082.52,22.99,722.86,0.0,336.67,336.67,0.0,0.0,organic,2015,GrandRapids
2015-03-22,1.18,453173.22,5956.18,344396.92,155.94,102664.18,102204.17,460.01,0.0,conventional,2015,Boston
2017-06-11,2.19,515.01,399.62,5.92,0.0,109.47,106.14,3.33,0.0,organic,2017,NewOrleansMobile
2016-05-29,1.09,3349139.43,708286.6,1603134.92,199248.47,838469.44,736868.61,87305.62,14295.21,conventional,2016,Midsouth
2015-12-20,1.23,1139347.98,13998.35,867406.68,803.83,257139.12,212615.2,44523.92,0.0,conventional,2015,NewYork
2015-02-01,1.25,112065.73,2685.5,75345.64,2164.35,31870.24,20561.48,11308.76,0.0,conventional,2015,Pittsburgh
2016-02-21,1.37,163120.64,22049.09,50654.13,60.78,90356.64,45278.4,45078.24,0.0,organic,2016,West
2015-05-31,2.14,4092.07,335.32,1524.77,1348.57,883.41,883.41,0.0,0.0,organic,2015,Charlotte
2015-08-16,1.69,2649.76,5.12,1894.81,0.0,749.83,86.67,663.16,0.0,organic,2015,Boise
2015-12-20,1.23,1139347.98,13998.35,867406.68,803.83,257139.12,212615.2,44523.92,0.0,conventional,2015,NewYork
2016-06-12,1.71,93841.12,6582.57,25151.17,1518.0,60589.38,48533.11,12056.27,0.0,organic,2016,Northeast
2016-07-31,2.02,14788.87,895.68,10096.25,495.8,3301.14,3301.14,0.0,0.0,organic,2016,BaltimoreWashington
2015-11-15,0.9,568414.35,83998.38,199356.57,16340.66,268718.74,258913.25,2157.19,7648.3,conventional,2015,Portland
2016-02-21,1.49,4856.96,753.3,2433.22,0.0,1670.44,1363.33,307.11,0.0,organic,2016,Nashville
2017-03-19,0.94,5498742.96,3186678.9,1033840.6,65215.62,1213007.84,1165809.84,31725.57,15472.43,conventional,2017,SouthCentral
2017-05-14,2.41,71188.47,6758.27,25947.46,2033.18,36449.56,36449.56,0.0,0.0,organic,2017,NewYork
2017-05-14,2.21,9005.08,420.54,6462.38,585.26,1536.9,1270.05,266.85,0.0,organic,2017,Charlotte
2015-11-01,1.82,2109.04,1331.43,21.71,12.57,743.33,743.33,0.0,0.0,organic,2015,Jacksonville
2015-01-04,1.54,61615.1,3633.93,42963.06,0.0,15018.11,9763.55,5254.56,0.0,organic,2015,GreatLakes
2015-12-20,1.23,1139347.98,13998.35,867406.68,803.83,257139.12,212615.2,44523.92,0.0,conventional,2015,NewYork
2016-06-19,0.99,278178.65,67619.73,122627.22,15409.3,72522.4,67694.0,83.4,4745.0,conventional,2016,RichmondNorfolk
2015-11-01,1.82,2109.04,1331.43,21.71,12.57,743.33,743.33,0.0,0.0,organic,2015,Jacksonville
2015-11-08,2.14,2878.54,113.32,2199.02,0.0,566.2,553.88,12.32,0.0,organic,2015,HartfordSpringfield
2016-03-27,0.81,101267.73,40228.96,6891.08,9114.47,45033.22,44763.68,242.28,27.26,conventional,2016,Boise
2017-06-11,1.83,15591.67,2.59,304.24,0.0,15284.84,15284.84,0.0,0.0,organic,2017,NorthernNewEngland
2015-01-11,1.85,1614.56,1091.28,49.95,0.0,473.33,473.33,0.0,0.0,organic,2015,MiamiFtLauderdale
2016-07-31,1.64,8048.9,422.26,4190.77,1150.01,2285.86,2242.53,43.33,0.0,organic,2016,Charlotte
2015-01-11,1.03,916450.76,155455.32,670522.75,4107.26,86365.43,85706.54,658.89,0.0,conventional,2015,SanFrancisco
2017-05-14,0.95,765147.43,162605.72,154258.39,20830.86,427452.46,412487.49,14659.64,305.33,conventional,2017,Portland
2017-01-08,1.01,47556.69,3790.24,6998.59,14.77,36753.09,279.31,36473.78,0.0,organic,2017,Portland
2015-04-05,1.74,5558.81,1595.31,3073.37,0.0,890.13,40.46,849.67,0.0,organic,2015,Atlanta
2016-01-31,1.0,88040.94,19600.06,19030.78,3497.5,45912.6,45821.45,76.77,14.38,conventional,2016,Spokane
2016-11-06,1.47,242666.87,10727.78,179547.81,2261.03,50130.25,50130.25,0.0,0.0,conventional,2016,NorthernNewEngland
2016-08-21,1.67,1926.01,19.93,233.25,0.0,1672.83,1672.83,0.0,0.0,organic,2016,Albany
2017-03-05,1.11,95526.15,13231.55,12552.42,275.95,69466.23,12241.84,57224.39,0.0,organic,2017,Southeast
2016-06-05,1.31,10467.48,968.26,2877.64,374.97,6246.61,5142.68,1103.93,0.0,organic,2016,SouthCarolina
2016-01-17,1.45,125541.88,16081.34,66398.85,0.0,43061.69,22825.96,20235.73,0.0,organic,2016,California
2016-07-31,2.02,14788.87,895.68,10096.25,495.8,3301.14,3301.14,0.0,0.0,organic,2016,BaltimoreWashington
2016-07-31,2.02,14788.87,895.68,10096.25,495.8,3301.14,3301.14,0.0,0.0,organic,2016,BaltimoreWashington
2015-10-04,2.06,3480.18,337.52,1218.57,808.84,1115.25,1115.25,0.0,0.0,organic,2015,Charlotte
2017-04-02,1.33,116596.47,63506.59,8377.96,75.0,44636.92,44610.25,26.67,0.0,conventional,2017,StLouis
2016-05-29,1.27,5931.42,851.52,16.57,0.0,5063.33,5043.33,20.0,0.0,organic,2016,MiamiFtLauderdale
2016-07-17,1.21,118903.02,44998.45,6759.41,0.0,67145.16,47727.73,19417.43,0.0,organic,2016,SouthCentral
2017-01-08,1.4,13244.8,3667.93,4389.06,0.0,5187.81,5140.05,47.76,0.0,organic,2017,PhoenixTucson
2015-08-30,1.8,10535.93,7278.82,1588.99,0.0,1668.12,1013.33,654.79,0.0,organic,2015,PhoenixTucson
2017-04-02,1.02,76855.75,1334.79,18147.07,45.03,57328.86,349.3,56979.56,0.0,organic,2017,Seattle
2016-07-03,0.93,360419.86,194809.44,44367.9,320.72,120921.8,98981.79,15078.34,6861.67,conventional,2016,NewOrleansMobile
2017-06-04,2.38,9283.58,278.47,5303.7,280.8,3420.61,2204.98,1215.63,0.0,organic,2017,RaleighGreensboro
2015-11-01,1.82,2109.04,1331.43,21.71,12.57,743.33,743.33,0.0,0.0,organic,2015,Jacksonville
2015-03-22,1.77,3577.55,1876.49,81.06,0.0,1620.0,1620.0,0.0,0.0,organic,2015,Orlando
2016-07-31,2.02,14788.87,895.68,10096.25,495.8,3301.14,3301.14,0.0,0.0,organic,2016,BaltimoreWashington
2015-03-15,1.99,1965.57,19.04,904.23,0.0,1042.3,1042.3,0.0,0.0,organic,2015,Boston
2017-04-02,0.98,3100355.01,975079.42,428361.34,95594.45,1601319.8,1542667.95,11742.19,46909.66,conventional,2017,LosAngeles
2015-11-01,1.82,2109.04,1331.43,21.71,12.57,743.33,743.33,0.0,0.0,organic,2015,Jacksonville
2016-07-03,0.93,553640.36,277838.49,118092.73,278.53,157430.61,87341.32,50692.9,19396.39,conventional,2016,Orlando
2015-05-10,1.66,37079.86,9690.74,22159.83,58.17,5171.12,0.0,5171.12,0.0,organic,2015,Seattle
2015-10-11,0.79,1036269.51,410949.18,385629.69,126765.96,112924.68,62638.13,50286.55,0.0,conventional,2015,Houston
2016-07-31,2.02,14788.87,895.68,10096.25,495.8,3301.14,3301.14,0.0,0.0,organic,2016,BaltimoreWashington
2016-02-07,1.44,3152.51,950.9,11.61,0.0,2190.0,2186.67,3.33,0.0,organic,2016,MiamiFtLauderdale
2016-07-31,2.02,14788.87,895.68,10096.25,495.8,3301.14,3301.14,0.0,0.0,organic,2016,BaltimoreWashington
2016-10-23,1.78,213547.17,4201.36,152903.95,194.14,56247.72,56074.0,104.28,69.44,conventional,2016,HartfordSpringfield
2015-11-01,1.55,2738.24,14.25,92.6,0.0,2631.39,2631.39,0.0,0.0,organic,2015,BuffaloRochester
2015-11-01,1.82,2109.04,1331.43,21.71,12.57,743.33,743.33,0.0,0.0,organic,2015,Jacksonville
2017-06-11,1.17,183857.14,38447.04,9085.51,0.0,136324.59,122121.81,14202.78,0.0,organic,2017,SouthCentral
2017-01-29,1.26,4306.29,71.23,1070.47,0.0,3164.59,123.23,3041.36,0.0,organic,2017,Spokane
2015-01-11,1.87,761.86,29.06,539.72,0.0,193.08,190.0,3.08,0.0,organic,2015,GrandRapids
2015-03-29,1.74,6650.29,410.36,5582.97,0.0,656.96,471.04,185.92,0.0,organic,2015,Detroit
2015-11-01,1.23,118541.11,2181.17,61874.92,186.4,54298.62,52956.4,1342.22,0.0,conventional,2015,BuffaloRochester
2017-04-02,0.78,66751.16,3229.32,8942.34,13.62,54565.88,143.33,54422.55,0.0,organic,2017,Portland
2016-03-13,1.18,71223.95,874.89,42612.44,21.45,27715.17,27710.73,4.44,0.0,conventional,2016,Syracuse
2015-12-06,1.66,12668.99,934.4,8211.33,0.0,3523.26,7.43,3515.83,0.0,organic,2015,Portland
2015-09-06,2.07,2016.06,1096.25,55.1,8.04,856.67,856.67,0.0,0.0,organic,2015,Jacksonville
2016-07-31,2.02,14788.87,895.68,10096.25,495.8,3301.14,3301.14,0.0,0.0,organic,2016,BaltimoreWashington
2015-11-08,1.82,13935.65,3607.09,9164.65,90.48,1073.43,242.37,831.06,0.0,organic,2015,NewYork
2016-01-31,1.76,4059.35,2811.38,67.97,0.0,1180.0,1173.33,6.67,0.0,organic,2016,Orlando
2015-08-02,1.1,242281.36,40387.93,143352.05,733.22,57808.16,56786.27,1018.67,3.22,conventional,2015,HarrisburgScranton
2015-05-24,1.26,403793.79,110289.47,232223.44,12830.34,48450.54,48450.54,0.0,0.0,conventional,2015,Sacramento
2015-01-04,0.93,5777334.9,2843648.26,2267755.26,137479.64,528451.74,477193.38,47882.56,3375.8,conventional,2015,California
2015-11-01,1.82,2109.04,1331.43,21.71,12.57,743.33,743.33,0.0,0.0,organic,2015,Jacksonville
2015-11-01,1.82,2109.04,1331.43,21.71,12.57,743.33,743.33,0.0,0.0,organic,2015,Jacksonville
2016-07-31,1.1,186520.46,88436.32,29435.66,250.6,68397.88,58584.96,9715.7,97.22,conventional,2016,Nashville
2017-01-15,1.66,142739.21,27811.48,58090.25,3.08,56834.4,55364.11,1470.29,0.0,organic,2017,California
2017-04-09,2.23,15498.84,2748.22,6194.36,3.38,6552.88,6505.53,47.35,0.0,organic,2017,Philadelphia
2016-10-02,1.31,159576.97,54429.42,29513.01,93.83,75540.71,23304.77,52235.94,0.0,conventional,2016,Jacksonville
2016-02-21,0.89,263057.19,142078.71,31665.87,322.0,88990.61,71315.06,17675.55,0.0,conventional,2016,NewOrleansMobile
2015-04-19,1.55,28984.95,19780.58,9164.18,0.0,40.19,40.19,0.0,0.0,organic,2015,SanFrancisco
2015-11-29,0.9,175833.54,96662.75,23572.73,298.68,55299.38,49172.32,6127.06,0.0,conventional,2015,NewOrleansMobile
2016-08-21,0.92,668003.85,135899.22,156327.74,11483.54,364293.35,362521.54,1691.66,80.15,conventional,2016,Portland
2015-10-11,1.54,3133.63,398.98,94.98,0.0,2639.67,2616.34,23.33,0.0,organic,2015,NewOrleansMobile
2015-06-21,1.62,72563.98,4039.33,57352.16,1.58,11170.91,5417.71,5753.2,0.0,organic,2015,GreatLakes
2017-05-28,1.64,18393.5,529.19,4739.85,0.0,13124.46,1096.93,12027.53,0.0,organic,2017,Detroit
2016-08-28,1.06,250434.52,87612.12,85621.03,5087.71,72113.66,70265.15,178.51,1670.0,conventional,2016,RichmondNorfolk
2015-02-15,1.65,58236.29,3633.54,40867.13,0.0,13735.62,11050.0,2685.62,0.0,organic,2015,GreatLakes
2015-10-18,0.87,805437.95,117059.41,435491.56,13693.47,239193.51,41688.37,197487.51,17.63,conventional,2015,Denver
2015-03-29,1.44,29105.69,5455.77,8344.01,8.64,15297.27,1693.33,13603.94,0.0,organic,2015,Denver
2015-10-04,1.55,3447.03,29.73,177.18,0.0,3240.12,3240.12,0.0,0.0,organic,2015,BuffaloRochester
2015-09-13,1.19,775671.49,17172.26,546965.49,128619.66,82914.08,78368.45,3809.54,736.09,conventional,2015,Chicago
2015-11-01,1.67,1713.35,334.79,94.74,0.0,1283.82,1280.49,3.33,0.0,organic,2015,NewOrleansMobile
2016-10-09,1.31,135520.48,43060.49,35355.69,143.93,56960.37,16656.5,40303.87,0.0,conventional,2016,Jacksonville
2016-07-31,1.11,12337.37,1053.15,4460.9,0.0,6823.32,881.97,5941.35,0.0,organic,2016,Nashville
2017-02-12,2.25,5559.0,1708.08,3229.82,0.0,621.1,621.1,0.0,0.0,organic,2017,Sacramento
2016-06-19,0.99,278178.65,67619.73,122627.22,15409.3,72522.4,67694.0,83.4,4745.0,conventional,2016,RichmondNorfolk
2016-10-30,1.41,4355.53,450.59,133.77,3.52,3767.65,250.0,3517.65,0.0,organic,2016,Jacksonville
2017-01-22,1.0,547800.42,178179.3,151852.98,116.5,217651.64,80110.89,137540.75,0.0,conventional,2017,Tampa
2017-07-23,1.54,509159.42,110161.26,215252.32,5868.34,177877.5,105736.33,72025.25,115.92,conventional,2017,Seattle
2016-11-13,1.57,1187396.84,514295.92,357173.85,5306.27,310620.8,279361.86,23575.34,7683.6,conventional,2016,Plains
2015-01-25,1.15,123070.18,48244.28,41412.29,103.6,33310.01,29161.12,4148.89,0.0,conventional,2015,Roanoke
2015-04-05,0.95,5929718.67,3132031.4,2022524.08,93055.21,682107.98,544939.22,135414.81,1753.95,conventional,2015,West
2015-08-23,1.92,6846.72,88.77,3262.67,891.22,2604.06,2335.43,268.63,0.0,organic,2015,RaleighGreensboro
2015-11-22,0.98,266950.55,184441.61,21585.56,120.55,60802.83,27114.53,33688.3,0.0,conventional,2015,Orlando
2015-07-26,1.15,2742949.66,1615660.84,424560.81,78530.49,624197.52,515493.85,108703.67,0.0,conventional,2015,Southeast
2015-07-12,1.1,509215.2,3111.08,341891.96,15371.77,148840.39,148811.62,28.77,0.0,conventional,2015,NorthernNewEngland
2015-03-22,1.23,68499.85,2604.56,46711.0,1370.01,17814.28,10044.46,7769.82,0.0,conventional,2015,Pittsburgh
2015-11-01,1.82,2109.04,1331.43,21.71,12.57,743.33,743.33,0.0,0.0,organic,2015,Jacksonville
2017-07-16,1.46,642837.36,108383.89,207831.49,14610.86,312011.12,114962.78,196568.34,480.0,conventional,2017,Denver
2015-08-30,1.62,1771.59,21.42,124.01,0.0,1626.16,1620.87,5.29,0.0,organic,2015,BuffaloRochester
2015-02-01,0.56,1544750.92,1194635.06,261342.47,6335.66,82437.73,82437.73,0.0,0.0,conventional,2015,PhoenixTucson
2017-02-05,1.63,22249.09,7.16,2644.02,38.21,19559.7,16906.1,2653.6,0.0,organic,2017,Boston
2017-04-23,1.67,13678.61,3557.81,6186.19,0.0,3934.61,1470.08,2464.53,0.0,organic,2017,PhoenixTucson
2016-09-18,1.27,278129.66,92754.42,82984.73,15056.66,87333.85,82483.06,4723.01,127.78,conventional,2016,RaleighGreensboro
2016-07-31,2.02,14788.87,895.68,10096.25,495.8,3301.14,3301.14,0.0,0.0,organic,2016,BaltimoreWashington
2016-07-31,2.02,14788.87,895.68,10096.25,495.8,3301.14,3301.14,0.0,0.0,organic,2016,BaltimoreWashington
2016-06-19,0.99,278178.65,67619.73,122627.22,15409.3,72522.4,67694.0,83.4,4745.0,conventional,2016,RichmondNorfolk
2016-08-28,1.11,3580022.43,1919441.39,610781.64,10303.2,1039496.2,738943.52,290855.73,9696.95,conventional,2016,Southeast
2015-12-27,1.72,4946.4,1142.95,3722.48,0.0,80.97,80.97,0.0,0.0,organic,2015,Sacramento
2015-03-01,1.63,2901.01,787.15,7.19,0.0,2106.67,2106.67,0.0,0.0,organic,2015,Tampa
2015-05-10,1.06,95788.53,62505.3,15896.54,7891.16,9495.53,9453.06,0.0,42.47,conventional,2015,Boise
2015-07-05,1.84,1014.02,1.24,64.68,0.0,948.1,948.1,0.0,0.0,organic,2015,Syracuse
2015-02-15,1.81,10575.65,948.53,8233.79,0.0,1393.33,1393.33,0.0,0.0,organic,2015,Chicago
2016-03-27,0.99,216788.92,2298.8,146037.81,5101.46,63350.85,53892.93,9316.77,141.15,conventional,2016,GrandRapids
2016-08-07,2.36,5402.37,35.74,3832.23,2.73,1531.67,1531.67,0.0,0.0,organic,2016,HartfordSpringfield
2017-03-26,1.11,100036.14,2435.42,46979.43,163.77,50457.52,18244.87,32209.26,3.39,conventional,2017,Louisville
2015-10-25,1.86,3254.64,441.78,1817.74,15.61,979.51,72.11,907.4,0.0,organic,2015,Philadelphia
2017-03-19,2.59,2427.94,1223.8,96.36,0.0,1107.78,1107.78,0.0,0.0,organic,2017,MiamiFtLauderdale
2015-08-30,1.2,53699.67,601.15,43932.05,102.42,9064.05,9064.05,0.0,0.0,conventional,2015,Syracuse
2016-01-17,1.46,91071.06,11712.29,60713.76,12.29,18632.72,8031.93,10600.79,0.0,organic,2016,GreatLakes
2015-02-15,1.02,230069.01,155288.64,11863.71,253.04,62663.62,60468.24,2195.38,0.0,conventional,2015,NewOrleansMobile
2017-02-05,1.2,486542.38,52460.96,356398.62,23027.59,54655.21,49803.73,3869.41,982.07,conventional,2017,HartfordSpringfield
2015-03-29,1.29,52419.71,1020.84,28858.3,42.67,22497.9,22377.48,120.42,0.0,conventional,2015,Syracuse
2015-09-06,1.6,40540.88,16410.64,16444.08,0.0,7686.16,7686.16,0.0,0.0,organic,2015,LosAngeles
2016-10-02,0.83,954737.07,93260.65,187759.49,15822.01,657894.92,481756.13,175641.94,496.85,conventional,2016,Portland
2016-07-31,2.02,14788.87,895.68,10096.25,495.8,3301.14,3301.14,0.0,0.0,organic,2016,BaltimoreWashington
2017-01-15,1.3,577976.65,5430.5,457448.44,8522.37,106575.34,106091.75,483.59,0.0,conventional,2017,Boston
2015-08-09,1.15,523157.29,220284.27,169096.61,13416.02,120360.39,120360.39,0.0,0.0,conventional,2015,Seattle
2016-02-21,1.38,100551.65,11109.56,62267.01,0.0,27175.08,10529.77,16645.31,0.0,organic,2016,GreatLakes
2015-01-11,1.85,1614.56,1091.28,49.95,0.0,473.33,473.33,0.0,0.0,organic,2015,MiamiFtLauderdale
2015-03-29,1.27,13809.65,344.26,12693.87,0.0,771.52,690.0,81.52,0.0,organic,2015,CincinnatiDayton
2015-01-11,1.85,1614.56,1091.28,49.95,0.0,473.33,473.33,0.0,0.0,organic,2015,MiamiFtLauderdale
2015-12-06,1.29,8286.37,37.55,466.83,0.0,7781.99,7781.99,0.0,0.0,organic,2015,Boston
2016-03-06,1.3,11858.2,2926.28,3544.22,0.0,5387.7,5100.95,286.75,0.0,organic,2016,LasVegas
2016-11-13,1.94,506543.8,118820.99,308678.33,3208.3,75836.18,74569.34,976.56,290.28,conventional,2016,SanFrancisco
2015-11-01,1.82,2109.04,1331.43,21.71,12.57,743.33,743.33,0.0,0.0,organic,2015,Jacksonville
2015-05-10,1.43,13607.51,5881.71,4326.02,6.9,3392.88,1853.33,1539.55,0.0,organic,2015,WestTexNewMexico
2016-02-21,1.57,59602.55,3095.81,35011.1,2035.98,19459.66,11889.39,7570.27,0.0,organic,2016,Midsouth
